SKU	EAN	UPC	TYPE	NAME	SHORTCODE	VARIANT GROUP ID	STATUS	PRICE	SALE PRICE	AVAILABLE	COMMITTED	BACKORDERED	ON HAND	TRACKING	BACKORDER LIMIT	DESCRIPTION	WEIGHT	UNIT OF WEIGHT	GTIN CODE	IMAGE URL	PRODUCT ID
			PHYSICAL	Your Company/School Logo on 12 Dri-Fit Polos			ACTIVE									Your Company/School Logo on 12 Dri-Fit Polos.  Just because it gets hot, no need to not look professional!  12 Sport Tek Polo's with your company logo.  Many colors available.  Mens and Ladies sizes sm-4xl.  No digitizing fees for this package. Please reach out to us if you are looking for other quantities or have any questions.					your-companyschool-logo-on-12-dri-fit-polos
YR-CMP-SCH-LG				Your Company/School Logo on 12 Dri-Fit Polos		your-companyschool-logo-on-12-dri-fit-polos	ACTIVE	225	205	3			3	TRUE		Your Company/School Logo on 12 Dri-Fit Polos.  Just because it gets hot, no need to not look professional!  12 Sport Tek Polo's with your company logo.  Many colors available.  Mens and Ladies sizes sm-4xl.  No digitizing fees for this package. Please reach out to us if you are looking for other quantities or have any questions.	0.1	lbs			your-companyschool-logo-on-12-dri-fit-polos
			PHYSICAL	I'm Your Mom Now T-Shirt			ACTIVE									Pride I'm Your Mom Now T-Shirt.  Design measures 8X10.  Multiple colors available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20220609_102644.jpg/:/rs=w:600,h:600	im-your-mom-now-t-shirt
I-M-YR-MOM				I'm Your Mom Now T-Shirt		im-your-mom-now-t-shirt	ACTIVE	25		6			6	TRUE		Pride I'm Your Mom Now T-Shirt.  Design measures 8X10.  Multiple colors available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/20220609_102644.jpg/:/rs=w:600,h:600	im-your-mom-now-t-shirt
			PHYSICAL	Birth Announcement Hedgehog			ACTIVE									Birth Announcement Embroidery Buddy.  The above is the Hedgehog, many other animals available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/Headhog-BA.jpg/:/rs=w:600,h:600	birth-announcement-hedgehog
BRT-NNN-HDG				Birth Announcement Hedgehog		birth-announcement-hedgehog	ACTIVE	45		1			1	TRUE		Birth Announcement Embroidery Buddy.  The above is the Hedgehog, many other animals available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/Headhog-BA.jpg/:/rs=w:600,h:600	birth-announcement-hedgehog
			PHYSICAL	'HomeMade' Hand Towel			ACTIVE									If I stir it It's HomeMade Hand Towel.  100% Cotton.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/StirHomemadeTowelfold.jpg/:/rs=w:600,h:600	homemade-hand-towel
HMM-HND-TWL				'HomeMade' Hand Towel		homemade-hand-towel	ACTIVE	15		12			12	TRUE		If I stir it It's HomeMade Hand Towel.  100% Cotton.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/StirHomemadeTowelfold.jpg/:/rs=w:600,h:600	homemade-hand-towel
			PHYSICAL	Your Logo on a Baseball Cap			ACTIVE									Your company Logo on a Baseball Cap.  We can do both front and back.  Digitizing may be a one time extra fee.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/blob-0001.png/:/rs=w:600,h:600	your-logo-on-a-baseball-cap
YOU-LG-ON-A				Your Logo on a Baseball Cap		your-logo-on-a-baseball-cap	ACTIVE	25		1			1	TRUE		Your company Logo on a Baseball Cap.  We can do both front and back.  Digitizing may be a one time extra fee.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/blob-0001.png/:/rs=w:600,h:600	your-logo-on-a-baseball-cap
			PHYSICAL	Moon Phases with Pentacle Patch			ACTIVE									Pentacle with Moon Phases Circle Embroidered Patch. Measures 3 inches in Diameter.  Bulk Order and custom patches available.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_131010.jpg/:/rs=w:600,h:600	moon-phases-with-pentacle-patch
PNT-WTH-LDR-FTH				Moon Phases with Pentacle Patch		moon-phases-with-pentacle-patch	ACTIVE	6		9			9	TRUE		Pentacle with Moon Phases Circle Embroidered Patch. Measures 3 inches in Diameter.  Bulk Order and custom patches available.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/ols/20230219_131010.jpg/:/rs=w:600,h:600	moon-phases-with-pentacle-patch
			PHYSICAL	Mothman-Live Laugh Lurk			ACTIVE									Mothman-Live Laugh Lurk.  Measure 3.8"x3.8" with Iron On Backing.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Mothman%20red%201.jpg/:/rs=w:600,h:600	mothman-live-laugh-lurk
MTH-LV-LGH-LRK				Mothman-Live Laugh Lurk		mothman-live-laugh-lurk	ACTIVE	6		4			4	TRUE		Mothman-Live Laugh Lurk.  Measure 3.8"x3.8" with Iron On Backing.	0.1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/Mothman%20red%201.jpg/:/rs=w:600,h:600	mothman-live-laugh-lurk
			PHYSICAL	Anchor Tote Bag			ACTIVE									Anchor Tote Bag 14.5WX16H with a 27" strap.  100% Cotton bag lined with a Poly/Cotton Blend.				https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/bag%201.jpg/:/rs=w:600,h:600	anchor-tote-bag
NCH-TT-BAG				Anchor Tote Bag		anchor-tote-bag	ACTIVE	20						TRUE		Anchor Tote Bag 14.5WX16H with a 27" strap.  100% Cotton bag lined with a Poly/Cotton Blend.	1	lbs		https://img1.wsimg.com/isteam/ip/febef7b2-27f4-4652-8bc3-281559243b22/bag%201.jpg/:/rs=w:600,h:600	anchor-tote-bag
